user_id,transaction_date,product_category,sale_amount,region,city,age,subscription,status,price,store_id,raw_timestamp,email,username
U1001,2026-06-27,Groceries,3453.62,East,Jaipur,37,Premium,Cancelled,2558.76,S104,2026-01-01 20:22:00,user1@example.com,user1
U1002,2026-02-18,Electronics,4759.89,West,Pune,47,Premium,Completed,113.78,S103,2026-05-24 06:27:00,user2@example.com,user2
U1003,2026-03-29,Clothing,1567.15,South,Mumbai,31,Basic,Cancelled,2052.65,S105,2026-01-09 07:53:00,user3@example.com,user3
U1004,2026-05-21,Clothing,3129.7,South,Jaipur,38,Premium,Pending,461.23,S104,2026-01-13 07:11:00,user4@example.com,user4
U1005,2026-05-18,Furniture,2018.67,South,Jaipur,34,Basic,Completed,,S104,2026-04-16 18:17:00,user5@example.com,user5
U1006,2026-01-10,Electronics,1936.48,West,Jaipur,24,Basic,,2139.0,S102,2026-03-25 18:41:00,user6@example.com,user6
U1007,2026-03-29,Clothing,382.08,West,Delhi,46,Basic,Cancelled,2339.94,S101,2026-05-04 08:29:00,user7@example.com,user7
U1008,2026-01-10,Furniture,2632.96,South,Delhi,49,Premium,Cancelled,2460.4,S102,2026-03-26 06:17:00,user8@example.com,user8
U1009,2026-04-12,Clothing,3691.31,East,Jaipur,50,Basic,Cancelled,1063.74,S102,2026-02-13 04:51:00,user9@example.com,user9
U1010,2026-05-07,Furniture,1230.37,South,Jaipur,35,Premium,Cancelled,1972.2,S103,2026-05-27 03:50:00,user10@example.com,user10
U1011,2026-01-21,Sports,4070.14,North,Mumbai,59,Basic,Completed,1110.14,S102,2026-06-10 05:00:00,user11@example.com,user11
U1012,2026-05-25,Furniture,4948.53,North,Mumbai,59,Premium,Cancelled,2884.48,S105,2026-05-05 23:57:00,user12@example.com,user12
U1013,2026-02-24,Furniture,3929.77,West,Mumbai,41,Premium,Pending,,S101,2026-02-14 09:47:00,user13@example.com,user13
U1014,2026-05-22,Electronics,3414.56,East,Mumbai,45,Basic,Completed,1078.6,S104,2026-01-29 15:37:00,user14@example.com,user14
U1015,2026-03-29,Electronics,2965.84,South,Pune,59,Basic,Cancelled,1412.76,S104,2026-05-02 20:32:00,user15@example.com,user15
U1016,2026-01-17,Clothing,3466.87,South,Jaipur,27,Premium,Completed,1313.87,S104,2026-01-10 06:31:00,user16@example.com,user16
U1017,2026-01-30,Groceries,723.13,North,Jaipur,27,Premium,Cancelled,1074.44,S102,2026-06-24 10:11:00,user17@example.com,user17
U1018,2026-06-04,Sports,4542.75,West,Jaipur,51,Basic,Cancelled,2034.9,S104,2026-04-14 16:36:00,user18@example.com,user18
U1019,2026-05-25,Furniture,866.55,West,Mumbai,20,Premium,Completed,1926.24,S105,2026-04-26 03:27:00,user19@example.com,user19
U1020,2026-04-16,Sports,2891.96,West,Jaipur,43,Basic,Completed,2254.02,S101,2026-05-29 00:53:00,user20@example.com,user20
U1021,2026-03-22,Electronics,2772.21,East,Jaipur,38,Premium,Completed,,S105,2026-06-05 02:56:00,user21@example.com,user21
U1022,2026-06-16,Furniture,1085.85,West,Jaipur,60,Basic,Cancelled,1656.85,S105,2026-04-02 12:02:00,user22@example.com,user22
U1023,2026-06-24,Electronics,431.56,East,Jaipur,37,Basic,Completed,2324.78,S105,2026-01-10 01:13:00,user23@example.com,user23
U1024,2026-03-01,Clothing,598.26,West,Mumbai,23,Basic,Cancelled,2812.39,S103,2026-05-07 10:05:00,user24@example.com,user24
U1025,2026-01-02,Groceries,4472.67,West,Jaipur,21,Premium,Pending,2688.13,S103,2026-04-29 03:16:00,user25@example.com,user25
U1026,2026-01-01,Furniture,3540.24,East,Jaipur,54,Basic,Cancelled,1485.73,S102,2026-06-20 17:44:00,user26@example.com,user26
U1027,2026-01-01,Sports,2284.21,North,Mumbai,43,Basic,Cancelled,835.6,S105,2026-02-16 09:26:00,user27@example.com,user27
U1028,2026-03-17,Furniture,4492.88,North,Pune,34,Basic,Pending,497.72,S101,2026-02-03 14:30:00,user28@example.com,user28
U1029,2026-04-26,Sports,454.81,South,Jaipur,39,Premium,Cancelled,2757.68,S101,2026-04-26 00:10:00,user29@example.com,user29
U1030,2026-03-01,Clothing,3680.73,West,Delhi,49,Basic,Pending,1900.07,S105,2026-05-14 20:09:00,user30@example.com,user30
U1031,2026-04-26,Clothing,3982.82,West,Delhi,18,Basic,Pending,1402.37,S102,2026-05-07 05:12:00,user31@example.com,
U1032,2026-01-14,Groceries,1043.77,South,Mumbai,22,Premium,Cancelled,1621.13,S102,2026-06-06 13:19:00,user32@example.com,user32
U1033,2026-06-08,Groceries,2974.06,North,Jaipur,57,Premium,Cancelled,2564.24,S101,2026-05-09 14:14:00,,user33
U1034,2026-04-22,Clothing,4130.03,North,Jaipur,51,Basic,Completed,780.34,S105,2026-02-27 14:19:00,user34@example.com,user34
U1035,2026-01-13,Sports,1569.67,South,Jaipur,38,Premium,Pending,99.48,S105,2026-05-03 00:32:00,user35@example.com,user35
U1036,2026-02-12,Electronics,594.22,North,Jaipur,50,Premium,Cancelled,2023.46,S101,2026-05-08 03:19:00,user36@example.com,user36
U1037,2026-02-15,Clothing,2454.33,East,Pune,29,Basic,Pending,2437.79,S101,2026-01-21 08:54:00,user37@example.com,user37
U1038,2026-03-18,Clothing,3949.31,East,Jaipur,45,Premium,Cancelled,477.65,S102,2026-04-25 00:07:00,user38@example.com,user38
U1039,2026-04-29,Electronics,1231.34,East,Jaipur,26,Basic,Pending,543.56,S102,01/2026/04/23,user39@example.com,user39
U1040,2026-03-27,Electronics,513.98,North,Jaipur,24,Basic,Pending,1969.42,S101,2026-06-10 16:27:00,user40@example.com,user40
U1041,2026-03-02,Furniture,2661.39,North,Pune,48,Basic,Pending,1701.22,S101,2026-02-07 16:45:00,user41@example.com,user41
U1042,2026-06-02,Sports,1176.18,East,Jaipur,37,Basic,Pending,1025.18,S101,2026-03-04 20:28:00,user42@example.com,user42
U1043,2026-06-13,Electronics,4822.06,North,Delhi,23,Premium,Pending,2114.33,S104,2026-02-25 01:44:00,user43@example.com,user43
U1044,2026-05-15,Sports,4232.6,South,Jaipur,21,Premium,Cancelled,1365.78,S101,2026-04-19 00:05:00,user44@example.com,user44
U1045,2026-03-14,Electronics,3687.19,West,Delhi,45,Premium,Cancelled,1324.54,S103,2026-02-05 22:35:00,user45@example.com,user45
U1046,2026-04-20,Groceries,545.39,North,Delhi,22,Basic,Pending,2935.76,S102,2026-02-21 04:42:00,user46@example.com,user46
U1047,2026-03-28,Groceries,1056.74,West,Jaipur,46,Basic,Cancelled,910.11,S105,2026-02-24 07:14:00,user47@example.com,user47
U1048,2026-02-06,Sports,2436.47,South,Jaipur,57,Basic,Pending,,S101,2026-04-19 07:48:00,user48@example.com,user48
U1049,2026-05-18,Electronics,2407.83,West,Delhi,18,Basic,Pending,1837.13,S105,2026-03-27 14:20:00,user49@example.com,user49
U1050,2026-03-06,Electronics,4253.16,West,Mumbai,23,Premium,Completed,1949.47,S102,2026-03-09 08:31:00,user50@example.com,user50
U1051,2026-05-21,Groceries,1328.12,West,Delhi,59,Premium,Cancelled,105.2,S103,2026-02-15 14:49:00,user51@example.com,user51
U1052,2026-06-19,Sports,4947.72,West,Jaipur,24,Premium,Pending,818.45,S105,2026-02-06 13:21:00,user52@example.com,user52
U1053,2026-04-16,Clothing,4470.77,East,Delhi,29,Premium,,1500.47,S105,2026-01-31 00:23:00,user53@example.com,user53
U1054,2026-04-23,Sports,2636.95,North,Jaipur,24,Premium,Cancelled,740.11,S103,2026-02-22 05:00:00,user54@example.com,user54
U1055,2026-02-03,Furniture,1852.03,East,Mumbai,27,Premium,Cancelled,2336.01,S104,2026-05-28 07:41:00,user55@example.com,user55
U1056,2026-02-24,Furniture,3701.22,East,Mumbai,53,Premium,Completed,2383.73,S104,2026-03-04 21:24:00,user56@example.com,user56
U1057,2026-01-20,Furniture,480.94,East,Jaipur,41,Basic,Completed,1272.81,S102,2026-01-29 01:42:00,user57@example.com,user57
U1058,2026-06-20,Furniture,4951.92,North,Jaipur,33,Premium,Cancelled,694.19,S104,2026-02-28 15:43:00,user58@example.com,user58
U1059,2026-04-13,Electronics,4034.81,West,Jaipur,32,Premium,Cancelled,401.07,S102,2026-05-10 06:17:00,,user59
U1060,2026-01-26,Groceries,2382.89,East,Delhi,28,Premium,Cancelled,,S105,2026-05-26 16:53:00,user60@example.com,user60
U1061,2026-01-01,Sports,507.8,East,Delhi,50,Basic,Completed,2423.17,S105,2026-05-29 08:31:00,user61@example.com,user61
U1062,2026-03-30,Groceries,3530.92,South,Mumbai,37,Basic,Completed,2099.49,S103,2026-03-19 09:21:00,user62@example.com,user62
U1063,2026-04-11,Clothing,4301.12,North,Jaipur,58,Basic,Pending,2957.41,S101,2026-05-09 01:38:00,user63@example.com,user63
U1064,2026-06-07,Electronics,313.28,South,Jaipur,23,Premium,Pending,1763.97,S101,2026-03-12 03:48:00,user64@example.com,user64
U1065,2026-05-13,Groceries,1864.27,North,Pune,33,Basic,Pending,1372.2,S103,2026-04-12 12:34:00,user65@example.com,user65
U1066,2026-06-30,Groceries,2818.98,East,Mumbai,48,Premium,Pending,1560.2,S102,2026-04-11 04:29:00,user66@example.com,user66
U1067,2026-02-23,Electronics,4428.04,North,Jaipur,37,Premium,Cancelled,901.91,S102,01/2026/05/13,user67@example.com,user67
U1068,2026-04-01,Furniture,3799.54,South,Mumbai,45,Premium,Completed,140.9,S104,2026-04-16 00:30:00,user68@example.com,user68
U1069,2026-05-23,Groceries,4332.52,North,Pune,49,Basic,Pending,374.53,S103,2026-05-07 08:16:00,user69@example.com,user69
U1070,2026-03-08,Electronics,2560.89,East,Jaipur,51,Premium,Cancelled,1182.52,S103,2026-06-08 13:55:00,user70@example.com,
U1071,2026-01-01,Clothing,1876.33,East,Mumbai,27,Basic,Pending,1231.84,S103,2026-06-02 23:43:00,user71@example.com,user71
U1072,2026-02-11,Groceries,3324.63,South,Jaipur,44,Premium,Pending,1325.91,S101,2026-02-16 22:11:00,user72@example.com,user72
U1073,2026-02-04,Clothing,4426.81,North,Delhi,19,Basic,Completed,2789.21,S105,2026-01-04 22:40:00,user73@example.com,user73
U1074,2026-04-09,Furniture,3899.29,South,Mumbai,28,Premium,Completed,1763.08,S104,2026-05-24 06:08:00,user74@example.com,user74
U1075,2026-02-07,Sports,2850.77,East,Jaipur,27,Basic,Completed,2085.1,S101,2026-05-10 16:43:00,user75@example.com,user75
U1076,2026-05-03,Furniture,2002.54,North,Jaipur,38,Premium,Cancelled,1655.3,S102,2026-06-20 21:41:00,user76@example.com,user76
U1077,2026-04-19,Clothing,265.37,North,Pune,56,Premium,,501.5,S103,01/2026/05/11,user77@example.com,user77
U1078,2026-05-01,Groceries,3400.83,East,Mumbai,33,Basic,Cancelled,1143.36,S103,2026-01-06 01:40:00,user78@example.com,user78
U1079,2026-03-18,Sports,950.32,North,Jaipur,25,Basic,Cancelled,1048.08,S105,2026-01-25 19:06:00,user79@example.com,user79
U1080,2026-06-01,Furniture,4139.82,South,Mumbai,60,Premium,Completed,791.04,S102,2026-02-03 03:44:00,user80@example.com,user80
U1081,2026-05-01,Electronics,3990.6,West,Delhi,40,Basic,Cancelled,2384.74,S103,2026-05-02 22:43:00,user81@example.com,user81
U1082,2026-01-03,Groceries,4571.93,West,Delhi,32,Premium,Completed,245.81,S105,2026-01-17 20:37:00,user82@example.com,user82
U1083,2026-04-13,Groceries,2464.35,East,Jaipur,34,Basic,Pending,1851.27,S103,2026-01-27 15:25:00,user83@example.com,user83
U1084,2026-04-10,Groceries,333.56,North,Jaipur,22,Premium,Pending,1271.57,S104,2026-04-10 11:17:00,user84@example.com,user84
U1085,2026-01-23,Furniture,2368.29,North,Mumbai,33,Premium,Completed,1454.58,S101,2026-04-16 16:02:00,user85@example.com,user85
U1086,2026-05-22,Electronics,1812.35,North,Jaipur,35,Premium,Cancelled,2485.67,S102,2026-02-07 13:48:00,user86@example.com,user86
U1087,2026-03-16,Clothing,3755.48,South,Delhi,51,Premium,Cancelled,1775.95,S102,2026-03-17 07:11:00,user87@example.com,user87
U1088,2026-04-06,Furniture,2347.66,West,Jaipur,32,Premium,Pending,,S101,2026-02-23 00:29:00,user88@example.com,user88
U1089,2026-01-20,Electronics,4803.22,West,Jaipur,27,Basic,Cancelled,778.36,S102,2026-05-05 00:20:00,user89@example.com,user89
U1090,2026-03-10,Clothing,3960.86,West,Mumbai,22,Basic,Completed,796.75,S103,2026-05-03 16:58:00,user90@example.com,user90
U1091,2026-03-16,Sports,2956.01,West,Delhi,29,Premium,Cancelled,2040.18,S105,2026-01-13 10:37:00,user91@example.com,user91
U1092,2026-01-02,Clothing,2313.1,East,Mumbai,27,Premium,Completed,2624.74,S103,2026-04-30 14:48:00,user92@example.com,user92
U1093,2026-02-21,Clothing,4364.17,West,Mumbai,37,Basic,Completed,2844.87,S103,2026-04-16 19:21:00,user93@example.com,user93
U1094,2026-06-08,Furniture,3093.8,North,Delhi,59,Basic,Cancelled,2747.37,S104,2026-02-11 15:08:00,user94@example.com,user94
U1095,2026-05-30,Furniture,1904.4,South,Jaipur,30,Premium,Cancelled,1870.31,S102,2026-06-12 13:51:00,user95@example.com,user95
U1096,2026-05-06,Sports,2894.55,East,Jaipur,26,Basic,Completed,115.06,S103,2026-01-30 18:09:00,user96@example.com,user96
U1097,2026-02-28,Electronics,1077.67,West,Jaipur,19,Basic,Pending,1553.19,S105,01/2026/02/14,user97@example.com,user97
U1098,2026-02-23,Furniture,759.18,East,Jaipur,60,Premium,Cancelled,1016.54,S104,2026-05-02 16:30:00,user98@example.com,user98
U1099,2026-01-29,Sports,3544.24,West,Jaipur,49,Basic,,510.99,S104,2026-05-05 04:34:00,user99@example.com,user99
U1100,2026-05-16,Clothing,3293.2,East,Jaipur,18,Basic,Pending,1502.5,S101,2026-06-07 08:45:00,user100@example.com,user100
U1101,2026-06-23,Sports,1330.77,North,Jaipur,59,Premium,Completed,2368.49,S101,2026-02-26 01:40:00,user101@example.com,user101
U1102,2026-03-21,Sports,4249.39,East,Jaipur,23,Basic,Pending,577.42,S104,2026-05-04 09:58:00,user102@example.com,user102
U1103,2026-05-04,Sports,2812.49,South,Delhi,46,Premium,Cancelled,514.21,S102,2026-03-02 06:33:00,user103@example.com,user103
U1104,2026-05-07,Clothing,4444.95,South,Pune,39,Basic,Cancelled,748.01,S102,2026-02-19 08:55:00,user104@example.com,user104
U1105,2026-05-23,Electronics,797.1,East,Mumbai,21,Premium,Completed,1718.54,S104,2026-02-22 19:14:00,user105@example.com,user105
U1106,2026-04-30,Groceries,2018.42,South,Delhi,28,Basic,Cancelled,461.68,S103,2026-02-12 01:27:00,user106@example.com,user106
U1107,2026-06-18,Sports,3344.0,East,Delhi,52,Premium,Completed,984.96,S104,2026-05-12 19:32:00,user107@example.com,user107
U1108,2026-06-17,Clothing,4781.38,East,Delhi,24,Premium,Cancelled,1997.2,S101,2026-03-09 21:30:00,user108@example.com,user108
U1109,2026-03-11,Groceries,3214.64,West,Jaipur,21,Premium,Completed,2167.84,S101,2026-05-16 08:40:00,user109@example.com,user109
U1110,2026-01-29,Clothing,999.87,South,Delhi,43,Premium,Completed,632.61,S102,2026-04-11 20:41:00,user110@example.com,user110
U1111,2026-06-26,Clothing,1195.97,North,Delhi,23,Basic,Completed,2604.73,S105,2026-01-15 08:17:00,user111@example.com,user111
