Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
3126,CA-2015-121720,6/11/2015,6/12/2015,First Class,JE-15610,Jim Epp,Corporate,United States,New Delhi,Delhi,33801,Central,OFF-ST-10003816,Office Supplies,Storage,Fellowes High-Stak Drawer Files,620.1888,5,0.2,71.1428
1442,CA-2017-128160,12/19/2017,12/24/2017,Second Class,MM-17920,Michael Moore,Consumer,United States,New Delhi,Delhi,94110,Central,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,40.3392,3,0.2,61.46
4511,CA-2016-119935,11/10/2016,11/14/2016,Standard Class,KM-16225,Kalyca Meade,Corporate,United States,New Delhi,Delhi,65807,Central,FUR-FU-10001085,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,41.03,3,0.0,67.158
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,New Delhi,Delhi,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",233.2638,4,0.3,34.853
4510,CA-2017-167003,5/23/2017,5/29/2017,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,New Delhi,Delhi,90036,Central,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",188.41680000000002,4,0.2,43.5767
1600,CA-2017-158876,11/19/2017,11/21/2017,Second Class,AB-10150,Aimee Bixby,Consumer,United States,New Delhi,Delhi,75007,Central,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",109.0496,5,0.2,58.6744
7364,CA-2016-127243,11/28/2016,12/4/2016,Standard Class,DS-13180,David Smith,Corporate,United States,New Delhi,Delhi,19140,Central,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,374.20020000000005,4,0.4,-23.706100000000006
9952,CA-2017-121559,6/1/2017,6/3/2017,Second Class,HW-14935,Helen Wasserman,Corporate,United States,New Delhi,Delhi,46203,Central,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,19.118000000000002,3,0.0,58.69
501,US-2016-105578,5/30/2016,6/4/2016,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,New Delhi,Delhi,80134,Central,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,24.882,3,0.7,34.92
4848,CA-2014-164469,6/25/2014,6/27/2014,Second Class,GK-14620,Grace Kelly,Corporate,United States,New Delhi,Delhi,97301,Central,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",78.79520000000001,12,0.2,67.908
9995,NEW-ORD-001,9/7/2017,9/11/2017,Standard Class,NEW-CUST-001,Customer 1,Consumer,United States,Jaipur,Rajasthan,90032,West,NEW-PROD-001,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,500.0,3,0.1,120.0
9996,NEW-ORD-002,4/19/2016,4/26/2016,Standard Class,NEW-CUST-002,Customer 2,Consumer,United States,Jaipur,Rajasthan,10035,West,NEW-PROD-002,Office Supplies,Supplies,Acme Kleen Earth Office Shears,500.0,3,0.1,120.0
9997,NEW-ORD-003,3/17/2015,3/22/2015,Second Class,NEW-CUST-003,Customer 3,Corporate,United States,Jaipur,Rajasthan,10009,West,NEW-PROD-003,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black,500.0,3,0.1,120.0
9998,NEW-ORD-004,12/10/2016,12/14/2016,Standard Class,NEW-CUST-004,Customer 4,Home Office,United States,Jaipur,Rajasthan,10024,West,NEW-PROD-004,Office Supplies,Paper,Xerox 221,500.0,3,0.1,120.0
9999,NEW-ORD-005,4/8/2014,4/12/2014,Standard Class,NEW-CUST-005,Customer 5,Home Office,United States,Jaipur,Rajasthan,94521,West,NEW-PROD-005,Technology,Accessories,Logitech Wireless Headset h800,500.0,3,0.1,120.0
10000,NEW-ORD-006,11/7/2017,11/13/2017,Standard Class,NEW-CUST-006,Customer 6,Consumer,United States,Jaipur,Rajasthan,19120,West,NEW-PROD-006,Furniture,Tables,Bevis Rectangular Conference Tables,500.0,3,0.1,120.0
10001,NEW-ORD-007,11/12/2015,11/19/2015,Standard Class,NEW-CUST-007,Customer 7,Corporate,United States,Jaipur,Rajasthan,33317,West,NEW-PROD-007,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",500.0,3,0.1,120.0
10002,NEW-ORD-008,10/30/2016,11/4/2016,Standard Class,NEW-CUST-008,Customer 8,Consumer,United States,Jaipur,Rajasthan,48310,West,NEW-PROD-008,Office Supplies,Art,Newell 312,500.0,3,0.1,120.0
10003,NEW-ORD-009,1/31/2016,2/6/2016,Standard Class,NEW-CUST-009,Customer 9,Home Office,United States,Jaipur,Rajasthan,30318,West,NEW-PROD-009,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",500.0,3,0.1,120.0
10004,NEW-ORD-010,12/1/2017,12/8/2017,Standard Class,NEW-CUST-010,Customer 10,Consumer,United States,Jaipur,Rajasthan,98105,West,NEW-PROD-010,Office Supplies,Paper,Xerox 1947,500.0,3,0.1,120.0
